emitter,settlement,mean_field_dbuv_m,rank
?,Ракитец,46.55,top5_high
?,Горни Липовиќ,44.8,top5_high
?,Долни Липовиќ,41.0,top5_high
?,Ранковце,35.0,top5_high
?,Шивец *,30.74285714285714,top5_high
?,Горни Липовиќ,44.8,top5_low
?,Долни Липовиќ,41.0,top5_low
?,Ранковце,35.0,top5_low
?,Шивец *,30.74285714285714,top5_low
?,Гевгелија,26.8,top5_low
Билино,Ранковце,54.5,top5_high
Билино,Ранковце,54.5,top5_low
МТВ 2,Прстен,45.0,top5_high
МТВ 2,Прстен,45.0,top5_low
Мали Влај,Мали Влај,77.0,top5_high
Мали Влај,Мислодежда,69.25,top5_high
Мали Влај,Струга,69.1,top5_high
Мали Влај,Мислешево,67.25,top5_high
Мали Влај,Елшани,58.11666666666667,top5_high
Мали Влај,Франгово,44.5,top5_low
Мали Влај,Збажди,35.0,top5_low
Мали Влај,Орман,34.0,top5_low
Мали Влај,Сливово,23.55,top5_low
Мали Влај,Лабуништа,20.0,top5_low
"П,Река 1",Осинчани,69.0,top5_high
"П,Река 1",Осинчани,69.0,top5_low
Пелистер,Лисолај,71.4,top5_high
Пелистер,Јанковец,68.76666666666667,top5_high
Пелистер,Тополчани,66.65,top5_high
Пелистер,Сопотско,66.55,top5_high
Пелистер,Плаќе,64.0,top5_high
Пелистер,Брезово,22.9,top5_low
Пелистер,Црешнево,21.349999999999998,top5_low
Пелистер,Пуста Река *,20.0,top5_low
Пелистер,Арилево,20.0,top5_low
Пелистер,Мало Илино,20.0,top5_low
Пелистер / р.Витолиште,Зовиќ,58.55,top5_high
Пелистер / р.Витолиште,Маково,56.4,top5_high
Пелистер / р.Витолиште,Зовиќ,58.55,top5_low
Пелистер / р.Витолиште,Маково,56.4,top5_low
Пелистер / р.Тепавци,Дихово,42.0125,top5_high
Пелистер / р.Тепавци,Дихово,42.0125,top5_low
Пелистер / р.Томорос,Ресен,56.65833333333333,top5_high
Пелистер / р.Томорос,Ресен,56.65833333333333,top5_low
Пелистер/р.Крушево,Долнени,65.3,top5_high
Пелистер/р.Крушево,Сенокос,64.25,top5_high
Пелистер/р.Крушево,Мажучиште,60.650000000000006,top5_high
Пелистер/р.Крушево,Мало Мраморани,60.6,top5_high
Пелистер/р.Крушево,Забрчани,59.2,top5_high
Пелистер/р.Крушево,Забрчани,59.2,top5_low
Пелистер/р.Крушево,Дупјачани,55.15,top5_low
Пелистер/р.Крушево,Небрегово,54.7,top5_low
Пелистер/р.Крушево,Дреновци,53.35,top5_low
Пелистер/р.Крушево,Горно Село,36.25,top5_low
Туртел,Таринци,79.0,top5_high
Туртел,Штип,77.66666666666667,top5_high
Туртел,Луковица,73.91666666666667,top5_high
Туртел,Младо Нагоричане,73.5,top5_high
Туртел,Пиперово,73.0,top5_high
Туртел,Кетеново *,28.0,top5_low
Туртел,Саса,27.73125,top5_low
Туртел,Бањица *,25.5,top5_low
Туртел,Ранковце,24.5,top5_low
Туртел,Раковец,24.25,top5_low
Туртел + ?,Гевгелија,46.0,top5_high
Туртел + ?,Гевгелија,46.0,top5_low
Туртел / р.Злетово,Древено,61.75,top5_high
Туртел / р.Злетово,Добрево,59.625,top5_high
Туртел / р.Злетово,Древено,61.75,top5_low
Туртел / р.Злетово,Добрево,59.625,top5_low
Туртел / р.Св.Николе,Свети Николе,56.5,top5_high
Туртел / р.Св.Николе,Свети Николе,56.5,top5_low
Туртел / р.Штип 1,Штип,58.5,top5_high
Туртел / р.Штип 1,Штип,58.5,top5_low
Турттел,Калаузлија,84.0,top5_high
Турттел,Карбинци,78.75,top5_high
Турттел,Јунузлија,65.5,top5_high
Турттел,Градец,33.0,top5_high
Турттел,Габар,30.0,top5_high
Турттел,Карбинци,78.75,top5_low
Турттел,Јунузлија,65.5,top5_low
Турттел,Градец,33.0,top5_low
Турттел,Габар,30.0,top5_low
Турттел,Валандово,26.0,top5_low
Турттел + ?,Валандово,25.0,top5_high
Турттел + ?,Валандово,25.0,top5_low
Црн Врв,Скопје-Центар,94.0,top5_high
Црн Врв,Никуљане,81.0,top5_high
Црн Врв,Градско,81.0,top5_high
Црн Врв,Младо Нагоричане,79.0,top5_high
Црн Врв,Горно Соње,79.0,top5_high
Црн Врв,Шивец *,30.316666666666666,top5_low
Црн Врв,Црешка,30.3,top5_low
Црн Врв,Црквино *,29.3,top5_low
Црн Врв,Бељаковце,29.0,top5_low
Црн Врв,Буковљане *,26.75,top5_low
Црн Врв + ?,Гевгелија,39.0,top5_high
Црн Врв + ?,Гевгелија,39.0,top5_low
Црн Врв + р.Буковик ?,Орел *,41.6,top5_high
Црн Врв + р.Буковик ?,Орел *,41.6,top5_low
Црн Врв / р.Богомила,Чашка,46.21,top5_high
Црн Врв / р.Богомила,Отиштино,38.0,top5_high
Црн Врв / р.Богомила,Бањица *,37.0,top5_high
Црн Врв / р.Богомила,Раковец,37.0,top5_high
Црн Врв / р.Богомила,Крајници,36.25,top5_high
Црн Врв / р.Богомила,Раковец,37.0,top5_low
Црн Врв / р.Богомила,Крајници,36.25,top5_low
Црн Врв / р.Богомила,Смиловци,36.15,top5_low
Црн Врв / р.Богомила,Ореше *,36.0,top5_low
Црн Врв / р.Богомила,Ораов Дол,34.0,top5_low
Црн Врв / р.Водно,Скопје-Бутел,70.8,top5_high
Црн Врв / р.Водно,Скопје-Бутел,70.8,top5_low
Црн Врв / р.Кавадарци,Ногаевци,31.983333333333334,top5_high
Црн Врв / р.Кавадарци,Кочилари,28.7375,top5_high
Црн Врв / р.Кавадарци,Ногаевци,31.983333333333334,top5_low
Црн Врв / р.Кавадарци,Кочилари,28.7375,top5_low
Црн Врв ?,Богомила,38.333333333333336,top5_high
Црн Врв ?,Богомила,38.333333333333336,top5_low
п.Пелистер,Беловодица,24.166666666666668,top5_high
п.Пелистер,Беловодица,24.166666666666668,top5_low
п.Туртел,Беловодица,35.5,top5_high
п.Туртел,Беловодица,35.5,top5_low
"р,Боскија",Моин,62.06666666666666,top5_high
"р,Боскија",Ново Коњско,56.2,top5_high
"р,Боскија",Моин,62.06666666666666,top5_low
"р,Боскија",Ново Коњско,56.2,top5_low
"р,Козица",Козица,72.0,top5_high
"р,Козица",Козица,72.0,top5_low
"р,Охрид-Кале",Долно Лакочереј,63.75,top5_high
"р,Охрид-Кале",Горно Лакочереј,62.15,top5_high
"р,Охрид-Кале",Долно Лакочереј,63.75,top5_low
"р,Охрид-Кале",Горно Лакочереј,62.15,top5_low
р. Жидилово + ?,Ранковце,26.0,top5_high
р. Жидилово + ?,Ранковце,26.0,top5_low
р. Коњско,Елшани,47.6,top5_high
р. Коњско,Елшани,47.6,top5_low
р. Крива Паланка 1,Длабочица,43.833333333333336,top5_high
р. Крива Паланка 1,Длабочица,43.833333333333336,top5_low
р. Нов Дојран,Стар Дојран,36.0,top5_high
р. Нов Дојран,Стар Дојран,36.0,top5_low
р. Србиново,Падалиште *,37.8,top5_high
р. Србиново,Падалиште *,37.8,top5_low
р.Бабино,Доленци,64.5,top5_high
р.Бабино,Базерник,53.7,top5_high
р.Бабино,Бабино,51.5,top5_high
р.Бабино,Доленци,64.5,top5_low
р.Бабино,Базерник,53.7,top5_low
р.Бабино,Бабино,51.5,top5_low
р.Бегниште,Шивец *,22.700000000000003,top5_high
р.Бегниште,Шивец *,22.700000000000003,top5_low
р.Беласица,Ново Коњарево,76.6,top5_high
р.Беласица,Мокриево,75.6,top5_high
р.Беласица,Борисово,75.6,top5_high
р.Беласица,Мокрино,75.6,top5_high
р.Беласица,Сушица,75.38,top5_high
р.Беласица,Вељуса,65.85,top5_low
р.Беласица,Ново Село,65.55,top5_low
р.Беласица,Дражево,63.900000000000006,top5_low
р.Беласица,Старо Коњарево,59.23076923076923,top5_low
р.Беласица,Струмица,53.54545454545455,top5_low
р.Беласица / р.Струмица,Радичево,55.4875,top5_high
р.Беласица / р.Струмица,Сушево,54.23333333333333,top5_high
р.Беласица / р.Струмица,Радичево,55.4875,top5_low
р.Беласица / р.Струмица,Сушево,54.23333333333333,top5_low
р.Билино,Мождивњак,57.5,top5_high
р.Билино,Одрено,57.5,top5_high
р.Билино,Петралица,56.5,top5_high
р.Билино,Псача,54.75,top5_high
р.Билино,Ранковце,54.5,top5_high
р.Билино,Псача,54.75,top5_low
р.Билино,Ранковце,54.5,top5_low
р.Билино,Метежево *,34.0,top5_low
р.Билино,Крива Паланка,27.0,top5_low
р.Билино,Т’лминци,20.0,top5_low
р.Богданци,Гевгелија,28.5,top5_high
р.Богданци,Гевгелија,28.5,top5_low
р.Богомила,Теово,61.51428571428572,top5_high
р.Богомила,Согле,59.614285714285714,top5_high
р.Богомила,Голозинци,59.25,top5_high
р.Богомила,Еловец,56.95,top5_high
р.Богомила,Богомила,54.90869565217392,top5_high
р.Богомила,Велес,36.81428571428571,top5_low
р.Богомила,Раковец,36.733333333333334,top5_low
р.Богомила,Ореше *,34.2,top5_low
р.Богомила,Бањица *,30.5,top5_low
р.Богомила,Шивец *,24.366666666666664,top5_low
р.Боскија,Нов Дојран,76.66666666666667,top5_high
р.Боскија,Фурка,75.30000000000001,top5_high
р.Боскија,Црничани,70.3,top5_high
р.Боскија,Дурутли,70.15,top5_high
р.Боскија,Раброво,69.5,top5_high
р.Боскија,Белотино,54.0,top5_low
р.Боскија,Николиќ,53.25,top5_low
р.Боскија,Чалакли,51.01666666666667,top5_low
р.Боскија,Собри,43.583333333333336,top5_low
р.Боскија,Дедели,39.0,top5_low
р.Боскија / р.Удово,Јосифово,66.39999999999999,top5_high
р.Боскија / р.Удово,Јосифово,66.39999999999999,top5_low
р.Боскија/р.Пожар/р.Удово,Балинци,45.4,top5_high
р.Боскија/р.Пожар/р.Удово,Балинци,45.4,top5_low
р.Бохула,Бохула,65.33333333333333,top5_high
р.Бохула,Чемерско,60.0,top5_high
р.Бохула,Долна Бошава,56.55,top5_high
р.Бохула,Крњево,51.72222222222222,top5_high
р.Бохула,Страгово,49.13333333333333,top5_high
р.Бохула,Бохула,65.33333333333333,top5_low
р.Бохула,Чемерско,60.0,top5_low
р.Бохула,Долна Бошава,56.55,top5_low
р.Бохула,Крњево,51.72222222222222,top5_low
р.Бохула,Страгово,49.13333333333333,top5_low
р.Брајчино,Брајчино,63.41538461538461,top5_high
р.Брајчино,Наколец,52.0,top5_high
р.Брајчино,Љубојно,40.59090909090909,top5_high
р.Брајчино,Брајчино,63.41538461538461,top5_low
р.Брајчино,Наколец,52.0,top5_low
р.Брајчино,Љубојно,40.59090909090909,top5_low
р.Буковик,Владимирово,62.8,top5_high
р.Буковик,Пехчево,61.5,top5_high
р.Буковик,Митрашинци,53.25,top5_high
р.Буковик,Стар Истевник,47.44444444444444,top5_high
р.Буковик,Моштица,40.33,top5_high
р.Буковик,Разловци,38.06666666666667,top5_low
р.Буковик,Тработивиште,37.6625,top5_low
р.Буковик,Нов Истевник,36.480000000000004,top5_low
р.Буковик,Двориште,31.166666666666668,top5_low
р.Буковик,Саса,24.916666666666668,top5_low
р.Велес,Велес,45.31666666666666,top5_high
р.Велес,Велес,45.31666666666666,top5_low
р.Велмеј,Лешани,70.0,top5_high
р.Велмеј,Велмеј,61.76818181818182,top5_high
р.Велмеј,Горно Средоречие,59.95,top5_high
р.Велмеј,Долно Средоречие,50.6,top5_high
р.Велмеј,Лешани,70.0,top5_low
р.Велмеј,Велмеј,61.76818181818182,top5_low
р.Велмеј,Горно Средоречие,59.95,top5_low
р.Велмеј,Долно Средоречие,50.6,top5_low
р.Витолиште,Зовиќ 1,71.33333333333333,top5_high
р.Витолиште,Пештани,70.16666666666667,top5_high
р.Витолиште,Дуње,65.91818181818182,top5_high
р.Витолиште,Витолиште,63.89,top5_high
р.Витолиште,Брник,63.666666666666664,top5_high
